Subject,AUC,Best_Threshold,Best_F1
S01,0.8239836594995441,0.2827064096927643,0.2747875354107649
S02,0.9301739387682407,0.3260309100151062,0.631578947368421
S03,0.8949806803545723,0.28622424602508545,0.5737704918032787
S04,,,
S05,0.5802961398430827,0.21343038976192474,0.4654178674351585
S06,0.8063258149388891,0.3016183078289032,0.35431654676258995
S07,0.8211247100937783,0.32798078656196594,0.3162393162393162
S08,0.4595265816211145,0.20842218399047852,0.4406417112299465
S09,0.787135401287081,0.22450968623161316,0.4655493482309125
S10,,,
